Time, Target_Y, Target_P, Feedback_Y, Feedback_P, Error_Y, Error_P
1781862880.82, 0.00, 0.00, 49.20, 0.40, -49.20, -0.40
1781862881.33, 0.00, 0.00, 49.70, 0.40, -49.70, -0.40
1781862881.86, 0.00, 0.00, 50.20, 0.40, -50.20, -0.40
1781862882.41, 0.00, 0.00, 50.70, 0.40, -50.70, -0.40
1781862882.94, 0.00, 0.00, 51.30, 0.40, -51.30, -0.40
1781862883.47, 0.00, 0.00, 51.80, 0.40, -51.80, -0.40
1781862883.98, 0.00, 0.00, 52.30, 0.40, -52.30, -0.40
1781862884.49, 0.00, 0.00, 52.80, 0.40, -52.80, -0.40
1781862884.99, 0.00, 0.00, 53.30, 0.40, -53.30, -0.40
1781862885.50, 0.00, 9.00, 53.80, 0.40, -53.80, 8.60
1781862886.04, 0.00, 9.00, 54.30, 0.40, -54.30, 8.60
1781862886.55, 0.00, 9.00, 54.80, 0.40, -54.80, 8.60
1781862887.10, 0.00, 9.00, 55.40, 0.40, -55.40, 8.60
1781862887.64, 0.00, 18.00, 10.30, -510.60, -10.30, 528.60
1781862888.18, 0.00, 13.50, 56.50, 0.40, -56.50, 13.10
1781862888.70, 0.00, 3.00, 57.00, 0.40, -57.00, 2.60
1781862889.24, 0.00, -6.00, 57.50, 0.40, -57.50, -6.40
1781862889.76, 0.00, -15.00, 58.00, 0.40, -58.00, -15.40
1781862890.27, 0.00, -13.90, 58.60, 0.40, -58.60, -14.30
1781862890.79, 0.00, -22.90, 12.30, -510.60, -12.30, 487.70
1781862891.32, 0.00, -31.90, 12.60, -536.20, -12.60, 504.30
1781862891.84, -23.80, 45.00, 13.80, -2584.20, -37.60, 2629.20
1781862892.35, -64.60, 45.00, 14.80, 3022.20, -79.40, -2977.20
1781862892.86, -119.00, 10.40, 15.40, 436.60, -134.40, -426.20
1781862893.41, -104.90, 1.50, 61.70, 0.40, -166.60, 1.10
1781862893.95, -104.90, 1.50, 62.20, 0.40, -167.10, 1.10
1781862894.49, -41.10, -69.60, 16.70, 948.60, -57.80, -1018.20
1781862895.01, -41.10, -69.60, 63.30, 0.40, -104.40, -70.00
